tweets,label,case_folding,cleansing,tokenizing,stopword,stemming
250 Warga Semanan Vaksinasi Covid di Pabrik Rider. https://t.co/tKdpWlF7A1  #PemkotJB #PemprovDKIJakarta #JagaJakarta #SukseskanVaksinasi #JakartaTanggapCorona https://t.co/XKke6p1M8l,1.0,250 warga semanan vaksinasi covid di pabrik rider. https://t.co/tkdpwlf7a1  #pemkotjb #pemprovdkijakarta #jagajakarta #sukseskanvaksinasi #jakartatanggapcorona https://t.co/xkke6p1m8l,warga semanan vaksinasi covid di pabrik rider,"['warga', 'semanan', 'vaksinasi', 'covid', 'di', 'pabrik', 'rider']","['warga', 'semanan', 'vaksinasi', 'covid', 'pabrik', 'rider']","['warga', 'seman', 'vaksinasi', 'covid', 'pabrik', 'rider']"
"Tinjau Vaksinasi di Bandung, Panglima dan Kapolri Berharap Program Vaksinasi Presiden 1 Juta 1 Hari Tercapai https://t.co/ZJzC1iuCNX",1.0,"tinjau vaksinasi di bandung, panglima dan kapolri berharap program vaksinasi presiden 1 juta 1 hari tercapai https://t.co/zjzc1iucnx",tinjau vaksinasi di bandung panglima dan kapolri berharap program vaksinasi presiden juta hari tercapai,"['tinjau', 'vaksinasi', 'di', 'bandung', 'panglima', 'dan', 'kapolri', 'berharap', 'program', 'vaksinasi', 'presiden', 'juta', 'hari', 'tercapai']","['tinjau', 'vaksinasi', 'berharap', 'program', 'vaksinasi', 'juta', 'tercapai']","['tinjau', 'vaksinasi', 'harap', 'program', 'vaksinasi', 'juta', 'capai']"
"Semua warga ber-KTP atau domisili atau bekerja di Jakarta yang telah berusia 18+, Bisa download aplikasi JAKI. Atau kunjungi website https://t.co/IlNFYHqo2Q   Jadi ga perlu pusing lagi karena ga kebagian nomer antrian ya 😉",1.0,"semua warga ber-ktp atau domisili atau bekerja di jakarta yang telah berusia 18+, bisa download aplikasi jaki. atau kunjungi website https://t.co/ilnfyhqo2q   jadi ga perlu pusing lagi karena ga kebagian nomer antrian ya 😉",semua warga ber ktp atau domisili atau bekerja di jakarta yang telah berusia bisa download aplikasi jaki atau kunjungi website jadi ga perlu pusing lagi karena ga kebagian nomer antrian ya,"['semua', 'warga', 'ber', 'ktp', 'atau', 'domisili', 'atau', 'bekerja', 'di', 'jakarta', 'yang', 'telah', 'berusia', 'bisa', 'download', 'aplikasi', 'jaki', 'atau', 'kunjungi', 'website', 'jadi', 'ga', 'perlu', 'pusing', 'lagi', 'karena', 'ga', 'kebagian', 'nomer', 'antrian', 'ya']","['warga', 'ktp', 'domisili', 'jakarta', 'berusia', 'download', 'aplikasi', 'jaki', 'kunjungi', 'website', 'ga', 'pusing', 'ga', 'kebagian', 'nomer', 'antrian']","['warga', 'ktp', 'domisili', 'jakarta', 'usia', 'download', 'aplikasi', 'jaki', 'kunjung', 'website', 'ga', 'pusing', 'ga', 'bagi', 'nomer', 'antri']"
"Yak 58 jam setelah vaksinasi yg gua kira bakalan kelar gejala pasca vaksinasinya ternyata (kayaknya) masih berlanjut, jam 7 tadi tiba2 pala pening, perut berasa mual dan badan keluar keringet dingin.",0.0,"yak 58 jam setelah vaksinasi yg gua kira bakalan kelar gejala pasca vaksinasinya ternyata (kayaknya) masih berlanjut, jam 7 tadi tiba2 pala pening, perut berasa mual dan badan keluar keringet dingin.",yak jam setelah vaksinasi yg gua kira bakalan kelar gejala pasca vaksinasinya ternyata kayaknya masih berlanjut jam tadi tiba pala pening perut berasa mual dan badan keluar keringet dingin,"['yak', 'jam', 'setelah', 'vaksinasi', 'yg', 'gua', 'kira', 'bakalan', 'kelar', 'gejala', 'pasca', 'vaksinasinya', 'ternyata', 'kayaknya', 'masih', 'berlanjut', 'jam', 'tadi', 'tiba', 'pala', 'pening', 'perut', 'berasa', 'mual', 'dan', 'badan', 'keluar', 'keringet', 'dingin']","['yak', 'jam', 'vaksinasi', 'gua', 'kelar', 'gejala', 'pasca', 'vaksinasinya', 'kayaknya', 'berlanjut', 'jam', 'pala', 'pening', 'perut', 'berasa', 'mual', 'badan', 'keringet', 'dingin']","['yak', 'jam', 'vaksinasi', 'gua', 'kelar', 'gejala', 'pasca', 'vaksinasi', 'kayak', 'lanjut', 'jam', 'pala', 'pening', 'perut', 'asa', 'mual', 'badan', 'keringet', 'dingin']"
Parah! Kasus Baru Covid-19 DKI Meroket Lampaui 4000 https://t.co/Qglb5khKwo  #moeslimchoice #COVIDVaccination #COVID19 #DKIJakarta #kasuscovid #jakartapusat #Covid_19 #vaksinasi #VaksinPastiPulihkanRI,0.0,parah! kasus baru covid-19 dki meroket lampaui 4000 https://t.co/qglb5khkwo  #moeslimchoice #covidvaccination #covid19 #dkijakarta #kasuscovid #jakartapusat #covid_19 #vaksinasi #vaksinpastipulihkanri,parah kasus baru covid dki meroket lampaui,"['parah', 'kasus', 'baru', 'covid', 'dki', 'meroket', 'lampaui']","['parah', 'covid', 'dki', 'meroket', 'lampaui']","['parah', 'covid', 'dki', 'roket', 'lampau']"
Vaksinasi ini bagian dari program 1 juta vaksin COVID-19 per hari. https://t.co/P0xcZv33uK,1.0,vaksinasi ini bagian dari program 1 juta vaksin covid-19 per hari. https://t.co/p0xczv33uk,vaksinasi ini bagian dari program juta vaksin covid per hari,"['vaksinasi', 'ini', 'bagian', 'dari', 'program', 'juta', 'vaksin', 'covid', 'per', 'hari']","['vaksinasi', 'program', 'juta', 'vaksin', 'covid']","['vaksinasi', 'program', 'juta', 'vaksin', 'covid']"
Panglima TNI dan Kapolri Tinjau Vaksinasi di Pabrik Sukuntex dan Pura Terban Kudus https://t.co/t5ij9eHIAn,1.0,panglima tni dan kapolri tinjau vaksinasi di pabrik sukuntex dan pura terban kudus https://t.co/t5ij9ehian,panglima tni dan kapolri tinjau vaksinasi di pabrik sukuntex dan pura terban kudus,"['panglima', 'tni', 'dan', 'kapolri', 'tinjau', 'vaksinasi', 'di', 'pabrik', 'sukuntex', 'dan', 'pura', 'terban', 'kudus']","['tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura', 'terban']","['tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura', 'terban']"
Panglima TNI dan Kapolri Tinjau Vaksinasi di Pabrik Sukuntex dan Pura Terban Kudus https://t.co/UAzCNFPHRQ,1.0,panglima tni dan kapolri tinjau vaksinasi di pabrik sukuntex dan pura terban kudus https://t.co/uazcnfphrq,panglima tni dan kapolri tinjau vaksinasi di pabrik sukuntex dan pura terban kudus,"['panglima', 'tni', 'dan', 'kapolri', 'tinjau', 'vaksinasi', 'di', 'pabrik', 'sukuntex', 'dan', 'pura', 'terban', 'kudus']","['tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura', 'terban']","['tinjau', 'vaksinasi', 'pabrik', 'sukuntex', 'pura', 'terban']"
Ya Allah pengen vaksinasi 🥺🙏🙏,1.0,ya allah pengen vaksinasi 🥺🙏🙏,ya allah pengen vaksinasi,"['ya', 'allah', 'pengen', 'vaksinasi']","['allah', 'pengen', 'vaksinasi']","['allah', 'ken', 'vaksinasi']"
"Vaksinasi mencegah bergejala berat,tidak mencegah keterpaparan,saat lonjakan kasus hrusnya kebijakan lbh fokus,pd antisipasi keterbatasan faskes dan nakes https://t.co/wBKHz9XiKZ",1.0,"vaksinasi mencegah bergejala berat,tidak mencegah keterpaparan,saat lonjakan kasus hrusnya kebijakan lbh fokus,pd antisipasi keterbatasan faskes dan nakes https://t.co/wbkhz9xikz",vaksinasi mencegah bergejala berat tidak mencegah keterpaparan saat lonjakan kasus hrusnya kebijakan lbh fokus pd antisipasi keterbatasan faskes dan nakes,"['vaksinasi', 'mencegah', 'bergejala', 'berat', 'tidak', 'mencegah', 'keterpaparan', 'saat', 'lonjakan', 'kasus', 'hrusnya', 'kebijakan', 'lbh', 'fokus', 'pd', 'antisipasi', 'keterbatasan', 'faskes', 'dan', 'nakes']","['vaksinasi', 'mencegah', 'bergejala', 'berat', 'mencegah', 'keterpaparan', 'lonjakan', 'hrusnya', 'kebijakan', 'fokus', 'antisipasi', 'keterbatasan', 'faskes', 'nakes']","['vaksinasi', 'cegah', 'gejala', 'berat', 'cegah', 'papar', 'lonjak', 'hrusnya', 'bijak', 'fokus', 'antisipasi', 'batas', 'faskes', 'nakes']"
"Meski masih dibayangi ketidakpastian global, ekonomi Indonesia berpotensi segera pulih dari resesi. Salah satu syaratnya adalah pengendalian pandemi Covid-19 dan vaksinasi. #Ekonomi #AdadiKompas  https://t.co/ryQ3vGOZUc",1.0,"meski masih dibayangi ketidakpastian global, ekonomi indonesia berpotensi segera pulih dari resesi. salah satu syaratnya adalah pengendalian pandemi covid-19 dan vaksinasi. #ekonomi #adadikompas  https://t.co/ryq3vgozuc",meski masih dibayangi ketidakpastian global ekonomi indonesia berpotensi segera pulih dari resesi salah satu syaratnya adalah pengendalian pandemi covid dan vaksinasi,"['meski', 'masih', 'dibayangi', 'ketidakpastian', 'global', 'ekonomi', 'indonesia', 'berpotensi', 'segera', 'pulih', 'dari', 'resesi', 'salah', 'satu', 'syaratnya', 'adalah', 'pengendalian', 'pandemi', 'covid', 'dan', 'vaksinasi']","['dibayangi', 'ketidakpastian', 'global', 'ekonomi', 'indonesia', 'berpotensi', 'pulih', 'resesi', 'salah', 'syaratnya', 'pengendalian', 'pandemi', 'covid', 'vaksinasi']","['bayang', 'ketidakpastian', 'global', 'ekonomi', 'indonesia', 'potensi', 'pulih', 'resesi', 'salah', 'syarat', 'kendali', 'pandemi', 'covid', 'vaksinasi']"
"Bupati Hartopo  Gubernur Ganjar Pranowo mendampingi Kapolri Jenderal Listyo Sigit P, Panglima TNI Marsekal Hadi Tjahjanto, Menkes RI Budi Sadikin,  Ketua Satgas Covid-19 RI sekaligus Kepala BNPB Letjen Ganip Warsito tinjau vaksinasi yg dilaksanakan di PT Sukun Tex, Kamis (17/6) https://t.co/W9Wg9YXIPA",1.0,"bupati hartopo  gubernur ganjar pranowo mendampingi kapolri jenderal listyo sigit p, panglima tni marsekal hadi tjahjanto, menkes ri budi sadikin,  ketua satgas covid-19 ri sekaligus kepala bnpb letjen ganip warsito tinjau vaksinasi yg dilaksanakan di pt sukun tex, kamis (17/6) https://t.co/w9wg9yxipa",bupati hartopo gubernur ganjar pranowo mendampingi kapolri jenderal listyo sigit  panglima tni marsekal hadi tjahjanto menkes ri budi sadikin ketua satgas covid ri sekaligus kepala bnpb letjen ganip warsito tinjau vaksinasi yg dilaksanakan di pt sukun tex kamis,"['bupati', 'hartopo', 'gubernur', 'ganjar', 'pranowo', 'mendampingi', 'kapolri', 'jenderal', 'listyo', 'sigit', 'panglima', 'tni', 'marsekal', 'hadi', 'tjahjanto', 'menkes', 'ri', 'budi', 'sadikin', 'ketua', 'satgas', 'covid', 'ri', 'sekaligus', 'kepala', 'bnpb', 'letjen', 'ganip', 'warsito', 'tinjau', 'vaksinasi', 'yg', 'dilaksanakan', 'di', 'pt', 'sukun', 'tex', 'kamis']","['bupati', 'hartopo', 'ganjar', 'pranowo', 'mendampingi', 'jenderal', 'sigit', 'menkes', 'ri', 'budi', 'sadikin', 'ketua', 'covid', 'ri', 'kepala', 'bnpb', 'letjen', 'ganip', 'warsito', 'tinjau', 'vaksinasi', 'dilaksanakan', 'sukun', 'tex']","['bupati', 'hartopo', 'ganjar', 'pranowo', 'damping', 'jenderal', 'sigit', 'menkes', 'ri', 'budi', 'sadikin', 'ketua', 'covid', 'ri', 'kepala', 'bnpb', 'letjen', 'ganip', 'warsito', 'tinjau', 'vaksinasi', 'laksana', 'sukun', 'tex']"
"Dapat Jatah Vaksin Lebih Banyak, Dinkes Pekanbaru Tak Batasi Lagi Vaksinasi ke Warga https://t.co/zjHnh5gpHD https://t.co/0F8z37stcl",1.0,"dapat jatah vaksin lebih banyak, dinkes pekanbaru tak batasi lagi vaksinasi ke warga https://t.co/zjhnh5gphd https://t.co/0f8z37stcl",dapat jatah vaksin lebih banyak dinkes pekanbaru tak batasi lagi vaksinasi ke warga,"['dapat', 'jatah', 'vaksin', 'lebih', 'banyak', 'dinkes', 'pekanbaru', 'tak', 'batasi', 'lagi', 'vaksinasi', 'ke', 'warga']","['jatah', 'vaksin', 'dinkes', 'pekanbaru', 'batasi', 'vaksinasi', 'warga']","['jatah', 'vaksin', 'dinkes', 'pekanbaru', 'batas', 'vaksinasi', 'warga']"
Agnez Mo menyediakan klinik vaksinasi Covid-19 gratis bagi masyarakat umum. Muzdalifah merayakan pertambahan usianya bersama orang-orang terdekat. https://t.co/JpSYNVviCV,1.0,agnez mo menyediakan klinik vaksinasi covid-19 gratis bagi masyarakat umum. muzdalifah merayakan pertambahan usianya bersama orang-orang terdekat. https://t.co/jpsynvvicv,agnez mo menyediakan klinik vaksinasi covid gratis bagi masyarakat umum muzdalifah merayakan pertambahan usianya bersama orang orang terdekat,"['agnez', 'mo', 'menyediakan', 'klinik', 'vaksinasi', 'covid', 'gratis', 'bagi', 'masyarakat', 'umum', 'muzdalifah', 'merayakan', 'pertambahan', 'usianya', 'bersama', 'orang', 'orang', 'terdekat']","['agnez', 'menyediakan', 'klinik', 'vaksinasi', 'covid', 'gratis', 'masyarakat', 'muzdalifah', 'merayakan', 'pertambahan', 'usianya', 'terdekat']","['agnez', 'sedia', 'klinik', 'vaksinasi', 'covid', 'gratis', 'masyarakat', 'muzdalifah', 'raya', 'tambah', 'usia', 'dekat']"
menelan uang ratusan miliar jdi bingung skrg wacana vaksinasi udh sampai mana progresnya. atau hakikatnya kita lbh cocok jd barbarianisme? https://t.co/lPMICLpLjH,0.0,menelan uang ratusan miliar jdi bingung skrg wacana vaksinasi udh sampai mana progresnya. atau hakikatnya kita lbh cocok jd barbarianisme? https://t.co/lpmiclpljh,menelan uang ratusan miliar jdi bingung skrg wacana vaksinasi udh sampai mana progresnya atau hakikatnya kita lbh cocok jd barbarianisme,"['menelan', 'uang', 'ratusan', 'miliar', 'jdi', 'bingung', 'skrg', 'wacana', 'vaksinasi', 'udh', 'sampai', 'mana', 'progresnya', 'atau', 'hakikatnya', 'kita', 'lbh', 'cocok', 'jd', 'barbarianisme']","['menelan', 'uang', 'ratusan', 'miliar', 'bingung', 'wacana', 'vaksinasi', 'udh', 'progresnya', 'hakikatnya', 'cocok', 'barbarianisme']","['tel', 'uang', 'ratus', 'miliar', 'bingung', 'wacana', 'vaksinasi', 'udh', 'progres', 'hakikat', 'cocok', 'barbarianisme']"
"Di Kudus Bersama Panglima TNI, Kapolri Harap Peran Aktif Masyarakat Sosialisasikan Vaksinasi https://t.co/q4ul4Uf9df",1.0,"di kudus bersama panglima tni, kapolri harap peran aktif masyarakat sosialisasikan vaksinasi https://t.co/q4ul4uf9df",di kudus bersama panglima tni kapolri harap peran aktif masyarakat sosialisasikan vaksinasi,"['di', 'kudus', 'bersama', 'panglima', 'tni', 'kapolri', 'harap', 'peran', 'aktif', 'masyarakat', 'sosialisasikan', 'vaksinasi']","['harap', 'peran', 'aktif', 'masyarakat', 'sosialisasikan', 'vaksinasi']","['harap', 'peran', 'aktif', 'masyarakat', 'sosialisasi', 'vaksinasi']"
Babinsa Somogede Koramil 09/Pituruh bersama Bhabinkamtibmas Dampingi Vaksinasi Lansia https://t.co/V3WS3VCRJi,1.0,babinsa somogede koramil 09/pituruh bersama bhabinkamtibmas dampingi vaksinasi lansia https://t.co/v3ws3vcrji,babinsa somogede koramil pituruh bersama bhabinkamtibmas dampingi vaksinasi lansia,"['babinsa', 'somogede', 'koramil', 'pituruh', 'bersama', 'bhabinkamtibmas', 'dampingi', 'vaksinasi', 'lansia']","['somogede', 'koramil', 'pituruh', 'dampingi', 'vaksinasi', 'lansia']","['somogede', 'koramil', 'pituruh', 'damping', 'vaksinasi', 'lansia']"
"Menteri Pengangkutan Wee Ka Siong berkata, ini akan membantu mempercepatkan vaksinasi dalam kalangan kira-kira 250,000 pekerja sektor itu. #FMTNews #KJ #BAS #WeeKaSiong https://t.co/iuml0a0CbN",1.0,"menteri pengangkutan wee ka siong berkata, ini akan membantu mempercepatkan vaksinasi dalam kalangan kira-kira 250,000 pekerja sektor itu. #fmtnews #kj #bas #weekasiong https://t.co/iuml0a0cbn",menteri pengangkutan wee ka siong berkata ini akan membantu mempercepatkan vaksinasi dalam kalangan kira kira pekerja sektor itu,"['menteri', 'pengangkutan', 'wee', 'ka', 'siong', 'berkata', 'ini', 'akan', 'membantu', 'mempercepatkan', 'vaksinasi', 'dalam', 'kalangan', 'kira', 'kira', 'pekerja', 'sektor', 'itu']","['menteri', 'pengangkutan', 'wee', 'siong', 'membantu', 'mempercepatkan', 'vaksinasi', 'kalangan', 'pekerja', 'sektor']","['menteri', 'angkut', 'wee', 'siong', 'bantu', 'cepat', 'vaksinasi', 'kalang', 'kerja', 'sektor']"
"Vaksinasi ini sebagai upaya untuk memutus penyebaran Covid-19, menciptakan kekebalan bagi tubuh dan melindungi diri. #publisherstory https://t.co/5wQ7owJxZq",1.0,"vaksinasi ini sebagai upaya untuk memutus penyebaran covid-19, menciptakan kekebalan bagi tubuh dan melindungi diri. #publisherstory https://t.co/5wq7owjxzq",vaksinasi ini sebagai upaya untuk memutus penyebaran covid menciptakan kekebalan bagi tubuh dan melindungi diri,"['vaksinasi', 'ini', 'sebagai', 'upaya', 'untuk', 'memutus', 'penyebaran', 'covid', 'menciptakan', 'kekebalan', 'bagi', 'tubuh', 'dan', 'melindungi', 'diri']","['vaksinasi', 'upaya', 'memutus', 'penyebaran', 'covid', 'menciptakan', 'kekebalan', 'tubuh', 'melindungi']","['vaksinasi', 'upaya', 'putus', 'sebar', 'covid', 'cipta', 'kebal', 'tubuh', 'lindung']"
"@widessss_ Paling sebel sama orang yg anggep klo vaksin itu hanya untuk hewan, terus pada alesan buat gak mau divaksinasi 🤦  Menurutku masih kurang penyuluhan tentang vaksinasi kususnya didaerah terpencil/pedesaan",0.0,"@widessss_ paling sebel sama orang yg anggep klo vaksin itu hanya untuk hewan, terus pada alesan buat gak mau divaksinasi 🤦  menurutku masih kurang penyuluhan tentang vaksinasi kususnya didaerah terpencil/pedesaan",paling sebel sama orang yg anggep klo vaksin itu hanya untuk hewan terus pada alesan buat gak mau divaksinasi menurutku masih kurang penyuluhan tentang vaksinasi kususnya didaerah terpencil pedesaan,"['paling', 'sebel', 'sama', 'orang', 'yg', 'anggep', 'klo', 'vaksin', 'itu', 'hanya', 'untuk', 'hewan', 'terus', 'pada', 'alesan', 'buat', 'gak', 'mau', 'divaksinasi', 'menurutku', 'masih', 'kurang', 'penyuluhan', 'tentang', 'vaksinasi', 'kususnya', 'didaerah', 'terpencil', 'pedesaan']","['sebel', 'anggep', 'vaksin', 'hewan', 'alesan', 'gak', 'divaksinasi', 'menurutku', 'penyuluhan', 'vaksinasi', 'kususnya', 'didaerah', 'terpencil', 'pedesaan']","['sebel', 'anggep', 'vaksin', 'hewan', 'alesan', 'gak', 'vaksinasi', 'turut', 'suluh', 'vaksinasi', 'sus', 'daerah', 'pencil', 'desa']"
Kalau atas tujuan vaksinasi boleh naik kereta 3 orang tak ?,1.0,kalau atas tujuan vaksinasi boleh naik kereta 3 orang tak ?,kalau atas tujuan vaksinasi boleh naik kereta orang tak,"['kalau', 'atas', 'tujuan', 'vaksinasi', 'boleh', 'naik', 'kereta', 'orang', 'tak']","['tujuan', 'vaksinasi']","['tuju', 'vaksinasi']"
"Selain meninjau pelaksanaan vaksinasi, Panglima TNI dan Kapolri juga melakukan sidak (inspeksi mendadak) dalam pelaksanaan PPKM Mikro di Kecamatan Bae, Kudus.",1.0,"selain meninjau pelaksanaan vaksinasi, panglima tni dan kapolri juga melakukan sidak (inspeksi mendadak) dalam pelaksanaan ppkm mikro di kecamatan bae, kudus.",selain meninjau pelaksanaan vaksinasi panglima tni dan kapolri juga melakukan sidak inspeksi mendadak dalam pelaksanaan ppkm mikro di kecamatan bae kudus,"['selain', 'meninjau', 'pelaksanaan', 'vaksinasi', 'panglima', 'tni', 'dan', 'kapolri', 'juga', 'melakukan', 'sidak', 'inspeksi', 'mendadak', 'dalam', 'pelaksanaan', 'ppkm', 'mikro', 'di', 'kecamatan', 'bae', 'kudus']","['meninjau', 'pelaksanaan', 'vaksinasi', 'sidak', 'inspeksi', 'mendadak', 'pelaksanaan', 'ppkm', 'mikro', 'bae']","['tinjau', 'laksana', 'vaksinasi', 'sidak', 'inspeksi', 'dadak', 'laksana', 'ppkm', 'mikro', 'bae']"
@drpriono1 belum ada KLASTER vaksinasi? https://t.co/hbPZGsq4gY,0.0,@drpriono1 belum ada klaster vaksinasi? https://t.co/hbpzgsq4gy,belum ada klaster vaksinasi,"['belum', 'ada', 'klaster', 'vaksinasi']","['klaster', 'vaksinasi']","['klaster', 'vaksinasi']"
Saya mahukan seramai mungkin rakyat Kedah terutamanya di kawasan Sungai Petani dan sekitarnya untuk sama-sama mendaftar bagi mendapatkan vaksinasi Covid 19. https://t.co/eeKOV9E0VV,1.0,saya mahukan seramai mungkin rakyat kedah terutamanya di kawasan sungai petani dan sekitarnya untuk sama-sama mendaftar bagi mendapatkan vaksinasi covid 19. https://t.co/eekov9e0vv,saya mahukan seramai mungkin rakyat kedah terutamanya di kawasan sungai petani dan sekitarnya untuk sama sama mendaftar bagi mendapatkan vaksinasi covid,"['saya', 'mahukan', 'seramai', 'mungkin', 'rakyat', 'kedah', 'terutamanya', 'di', 'kawasan', 'sungai', 'petani', 'dan', 'sekitarnya', 'untuk', 'sama', 'sama', 'mendaftar', 'bagi', 'mendapatkan', 'vaksinasi', 'covid']","['mahukan', 'seramai', 'rakyat', 'kedah', 'terutamanya', 'kawasan', 'sungai', 'petani', 'mendaftar', 'vaksinasi', 'covid']","['mahukan', 'serama', 'rakyat', 'kedah', 'utama', 'kawasan', 'sungai', 'tani', 'daftar', 'vaksinasi', 'covid']"
Panglima TNI dan Kapolri Berharap Program Vaksinasi Presiden 1 Juta 1 Hari Tercapai https://t.co/wB25ZF6hcM,1.0,panglima tni dan kapolri berharap program vaksinasi presiden 1 juta 1 hari tercapai https://t.co/wb25zf6hcm,panglima tni dan kapolri berharap program vaksinasi presiden juta hari tercapai,"['panglima', 'tni', 'dan', 'kapolri', 'berharap', 'program', 'vaksinasi', 'presiden', 'juta', 'hari', 'tercapai']","['berharap', 'program', 'vaksinasi', 'juta', 'tercapai']","['harap', 'program', 'vaksinasi', 'juta', 'capai']"
"Yaya, paham gw. Ketersediaan.  Tapi gw tetep panik soalnya ini kenapa lonjakannya tinggi banget dan for God's sake di jalanan gw liat kuli2 atau orang2 pada gapake masker yak?  Are you all desperate to...  Dah lah. Wajibkan aja vaksinasi sih ampun 😷",0.0,"yaya, paham gw. ketersediaan.  tapi gw tetep panik soalnya ini kenapa lonjakannya tinggi banget dan for god's sake di jalanan gw liat kuli2 atau orang2 pada gapake masker yak?  are you all desperate to...  dah lah. wajibkan aja vaksinasi sih ampun 😷",yaya paham gw ketersediaan tapi gw tetep panik soalnya ini kenapa lonjakannya tinggi banget dan for god  sake di jalanan gw liat kuli atau orang pada gapake masker yak are you all desperate to dah lah wajibkan aja vaksinasi sih ampun,"['yaya', 'paham', 'gw', 'ketersediaan', 'tapi', 'gw', 'tetep', 'panik', 'soalnya', 'ini', 'kenapa', 'lonjakannya', 'tinggi', 'banget', 'dan', 'for', 'god', 'sake', 'di', 'jalanan', 'gw', 'liat', 'kuli', 'atau', 'orang', 'pada', 'gapake', 'masker', 'yak', 'are', 'you', 'all', 'desperate', 'to', 'dah', 'lah', 'wajibkan', 'aja', 'vaksinasi', 'sih', 'ampun']","['yaya', 'paham', 'ketersediaan', 'tetep', 'panik', 'lonjakannya', 'banget', 'god', 'sake', 'jalanan', 'liat', 'kuli', 'gapake', 'yak', 'all', 'desperate', 'wajibkan', 'vaksinasi', 'ampun']","['yaya', 'paham', 'sedia', 'tetep', 'panik', 'lonjak', 'banget', 'god', 'sake', 'jalan', 'liat', 'kuli', 'gapake', 'yak', 'all', 'desperate', 'wajib', 'vaksinasi', 'ampun']"
"Kapolri berharap, peran aktif masy utk mensosialisasikan program vaksinasi yg tengah digalakan olh pemerintah. Disamping itu, Kapolri ini meminta agar stakeholder terkait memaksimalkan PPKM Mikro yakni dgn mengurangi mobilitas masyarakat dlm upaya menekan laju penularan Covid-19. https://t.co/sfP1D3ezl0",1.0,"kapolri berharap, peran aktif masy utk mensosialisasikan program vaksinasi yg tengah digalakan olh pemerintah. disamping itu, kapolri ini meminta agar stakeholder terkait memaksimalkan ppkm mikro yakni dgn mengurangi mobilitas masyarakat dlm upaya menekan laju penularan covid-19. https://t.co/sfp1d3ezl0",kapolri berharap peran aktif masy utk mensosialisasikan program vaksinasi yg tengah digalakan olh pemerintah disamping itu kapolri ini meminta agar stakeholder terkait memaksimalkan ppkm mikro yakni dgn mengurangi mobilitas masyarakat dlm upaya menekan laju penularan covid,"['kapolri', 'berharap', 'peran', 'aktif', 'masy', 'utk', 'mensosialisasikan', 'program', 'vaksinasi', 'yg', 'tengah', 'digalakan', 'olh', 'pemerintah', 'disamping', 'itu', 'kapolri', 'ini', 'meminta', 'agar', 'stakeholder', 'terkait', 'memaksimalkan', 'ppkm', 'mikro', 'yakni', 'dgn', 'mengurangi', 'mobilitas', 'masyarakat', 'dlm', 'upaya', 'menekan', 'laju', 'penularan', 'covid']","['berharap', 'peran', 'aktif', 'masy', 'mensosialisasikan', 'program', 'vaksinasi', 'digalakan', 'olh', 'disamping', 'stakeholder', 'terkait', 'memaksimalkan', 'ppkm', 'mikro', 'mengurangi', 'masyarakat', 'upaya', 'menekan', 'laju', 'penularan', 'covid']","['harap', 'peran', 'aktif', 'masy', 'sosialisasi', 'program', 'vaksinasi', 'gala', 'olh', 'samping', 'stakeholder', 'kait', 'maksimal', 'ppkm', 'mikro', 'kurang', 'masyarakat', 'upaya', 'tekan', 'laju', 'tular', 'covid']"
Wapres Tinjau Pelaksanaan Vaksinasi di Pemkot Tangerang  https://t.co/wGo3Nh5oUX  #Nasional #Politik #Wapres #Kesehatan #Vaksinasi #Covid_19,1.0,wapres tinjau pelaksanaan vaksinasi di pemkot tangerang  https://t.co/wgo3nh5oux  #nasional #politik #wapres #kesehatan #vaksinasi #covid_19,wapres tinjau pelaksanaan vaksinasi di pemkot tangerang,"['wapres', 'tinjau', 'pelaksanaan', 'vaksinasi', 'di', 'pemkot', 'tangerang']","['wapres', 'tinjau', 'pelaksanaan', 'vaksinasi', 'pemkot', 'tangerang']","['wapres', 'tinjau', 'laksana', 'vaksinasi', 'pemkot', 'tangerang']"
Menimbulkan KERUMUNAN! Ombudsman Kepri Minta Taknis Vaksinasi Dikaji Ulang    https://t.co/vI7pPVIMIt,0.0,menimbulkan kerumunan! ombudsman kepri minta taknis vaksinasi dikaji ulang    https://t.co/vi7ppvimit,menimbulkan kerumunan ombudsman kepri minta taknis vaksinasi dikaji ulang,"['menimbulkan', 'kerumunan', 'ombudsman', 'kepri', 'minta', 'taknis', 'vaksinasi', 'dikaji', 'ulang']","['menimbulkan', 'kerumunan', 'ombudsman', 'kepri', 'taknis', 'vaksinasi', 'dikaji', 'ulang']","['timbul', 'kerumun', 'ombudsman', 'kepri', 'taknis', 'vaksinasi', 'kaji', 'ulang']"
